Month,AverageStockPrice
15-10-1998,0.883
15-11-1998,1.297
15-12-1998,2.167
15-01-1999,3.367
15-02-1999,2.735
15-03-1999,3.363
15-04-1999,4.553
15-05-1999,3.361
15-06-1999,2.786
15-07-1999,3.001
15-08-1999,2.64
15-09-1999,3.246
15-10-1999,3.98
15-11-1999,3.81
15-12-1999,4.608
15-01-2000,3.419
15-02-2000,3.619
15-03-2000,3.32
15-04-2000,2.825
15-05-2000,2.672
15-06-2000,2.28
15-07-2000,1.837
15-08-2000,1.805
15-09-2000,2.097
15-10-2000,1.531
15-11-2000,1.521
15-12-2000,1.057
15-01-2001,0.89
15-02-2001,0.681
15-03-2001,0.549
15-04-2001,0.67
15-05-2001,0.788
15-06-2001,0.712
15-07-2001,0.739
15-08-2001,0.525
15-09-2001,0.372
15-10-2001,0.381
15-11-2001,0.436
15-12-2001,0.558
15-01-2002,0.601
15-02-2002,0.653
15-03-2002,0.766
15-04-2002,0.725
15-05-2002,0.906
15-06-2002,0.866
15-07-2002,0.739
15-08-2002,0.723
15-09-2002,0.814
15-10-2002,0.916
15-11-2002,1.065
15-12-2002,1.094
15-01-2003,1.07
15-02-2003,1.07
15-03-2003,1.246
15-04-2003,1.313
15-05-2003,1.596
15-06-2003,1.764
15-07-2003,1.935
15-08-2003,2.1
15-09-2003,2.367
15-10-2003,2.795
15-11-2003,2.633
15-12-2003,2.565
15-01-2004,2.693
15-02-2004,2.273
15-03-2004,2.12
15-04-2004,2.325
15-05-2004,2.161
15-06-2004,2.536
15-07-2004,2.31
15-08-2004,1.896
15-09-2004,2.029
15-10-2004,1.918
15-11-2004,1.914
15-12-2004,2.03
15-01-2005,2.122
15-02-2005,1.808
15-03-2005,1.726
15-04-2005,1.684
15-05-2005,1.729
15-06-2005,1.734
15-07-2005,1.759
15-08-2005,1.756
15-09-2005,1.874
15-10-2005,2.182
15-11-2005,2.228
15-12-2005,2.44
15-01-2006,2.261
15-02-2006,1.938
15-03-2006,1.822
15-04-2006,1.817
15-05-2006,1.705
15-06-2006,1.759
15-07-2006,1.67
15-08-2006,1.385
15-09-2006,1.574
15-10-2006,1.693
15-11-2006,2.017
15-12-2006,1.969
15-01-2007,1.879
15-02-2007,1.971
15-03-2007,1.93
15-04-2007,2.311
15-05-2007,3.218
15-06-2007,3.518
15-07-2007,3.723
15-08-2007,3.84
15-09-2007,4.403
15-10-2007,4.57
15-11-2007,4.151
15-12-2007,4.579
15-01-2008,4.086
15-02-2008,3.63
15-03-2008,3.422
15-04-2008,3.845
15-05-2008,3.868
15-06-2008,4
15-07-2008,3.616
15-08-2008,4.108
15-09-2008,3.815
15-10-2008,2.83
15-11-2008,2.227
15-12-2008,2.466
15-01-2009,2.607
15-02-2009,3.16
15-03-2009,3.421
15-04-2009,3.923
15-05-2009,3.885
15-06-2009,4.16
15-07-2009,4.17
15-08-2009,4.2
15-09-2009,4.325
15-10-2009,5.055
15-11-2009,6.403
15-12-2009,6.761
15-01-2010,6.386
15-02-2010,5.889
15-03-2010,6.524
15-04-2010,7.052
15-05-2010,6.381
15-06-2010,6.098
15-07-2010,5.838
15-08-2010,6.3
15-09-2010,7.349
15-10-2010,8.021
15-11-2010,8.418
15-12-2010,8.946
15-01-2011,9.1105
15-02-2011,9.047
15-03-2011,8.435
15-04-2011,9.2
15-05-2011,9.905
15-06-2011,9.582
15-07-2011,10.749
15-08-2011,9.967
15-09-2011,11.137
15-10-2011,11.317
15-11-2011,10.288
15-12-2011,9.203
15-01-2012,9.225
15-02-2012,9.128
15-03-2012,9.454
15-04-2012,9.758
15-05-2012,11.061
15-06-2012,10.944
15-07-2012,11.187
15-08-2012,11.947
15-09-2012,12.785
15-10-2012,12.242
15-11-2012,11.702
15-12-2012,12.638
15-01-2013,13.433
15-02-2013,13.193
15-03-2013,13.26
15-04-2013,13.156
15-05-2013,13.127
15-06-2013,13.697
15-07-2013,14.916
15-08-2013,14.567
15-09-2013,15.213
15-10-2013,16.261
15-11-2013,18.209
15-12-2013,19.573
15-01-2014,19.76
15-02-2014,17.683
15-03-2014,18.176
15-04-2014,16.062
15-05-2014,15.124
15-06-2014,16.225
15-07-2014,16.957
15-08-2014,16.367
15-09-2014,16.606
15-10-2014,15.41
15-11-2014,15.893
15-12-2014,15.473
15-01-2015,15.145
15-02-2015,18.742
15-03-2015,18.78
15-04-2015,19.727
15-05-2015,21.363
15-06-2015,21.63
15-07-2015,23.979
15-08-2015,25.97
15-09-2015,26.047
15-10-2015,28.23
15-11-2015,32.836
15-12-2015,33.459
15-01-2016,30.078
15-02-2016,26.525
15-03-2016,28.517
15-04-2016,30.669
15-05-2016,34.828
15-06-2016,35.797
15-07-2016,37.055
15-08-2016,38.212
15-09-2016,38.389
15-10-2016,41.265
15-11-2016,38.209
15-12-2016,38.176
15-01-2017,40.255
15-02-2017,41.716
15-03-2017,42.672
15-04-2017,45.225
15-05-2017,48.038
15-06-2017,49.515
15-07-2017,50.394
15-08-2017,48.578
15-09-2017,48.476
15-10-2017,50.009
15-11-2017,56.897
15-12-2017,58.464
15-01-2018,65.219
15-02-2018,72.162
15-03-2018,76.845
15-04-2018,73.512
15-05-2018,79.601
15-06-2018,84.907
15-07-2018,89.162
15-08-2018,94.74
15-09-2018,98.27
15-10-2018,89.412
15-11-2018,81.17
15-12-2018,78.245
15-01-2019,81.75
15-02-2019,81.306
15-03-2019,86.066
15-04-2019,93.133
15-05-2019,93.473
15-06-2019,92.62
15-07-2019,98.15
15-08-2019,89.72
15-09-2019,89.925
15-10-2019,87.507
15-11-2019,88.713
15-12-2019,89.274
15-01-2020,94.209
15-02-2020,103.483
15-03-2020,93.388
15-04-2020,111.07
15-05-2020,119.584
15-06-2020,130.525
15-07-2020,152.485
15-08-2020,162.311
15-09-2020,158.272
15-10-2020,161.73
15-11-2020,157.049
15-12-2020,159.824
15-01-2021,160.322
15-02-2021,163.25
15-03-2021,153.536
15-04-2021,167.591
15-05-2021,162.675
15-06-2021,168.19
15-07-2021,180.56
15-08-2021,165.455
15-09-2021,171.471
15-10-2021,166.635
15-11-2021,176.298
15-12-2021,170.981
15-01-2022,155.644
15-02-2022,153.799
15-03-2022,154.234
15-04-2022,151.798
15-05-2022,112.31
15-06-2022,112.574
15-07-2022,116.481
15-08-2022,137.807
15-09-2022,123.197
15-10-2022,114.321
15-11-2022,94.252
15-12-2022,83.26
15-01-2023,102.24
15-02-2023,99.036
15-03-2023,96.398
15-04-2023,103.345
15-05-2023,111.817
15-06-2023,126.427
15-07-2023,130.937
15-08-2023,135.543
15-09-2023,138.228
